epoch,weights_1,weights_2,weights_3
1,0.0860521,0.029356278,-0.028388781
2,0.086883806,0.02908363,-0.02829974
3,0.087777354,0.02935882,-0.027787045
4,0.088619374,0.029948596,-0.02711628
5,0.089499064,0.030649683,-0.026345238
6,0.09038121,0.031439476,-0.02551481
7,0.091288224,0.03229411,-0.024705388
8,0.09222368,0.03318856,-0.023836723
9,0.093111046,0.03412224,-0.022926454
10,0.09400792,0.035087157,-0.022008505
11,0.09493855,0.03605964,-0.021066448
12,0.095764205,0.0370062,-0.020487458
13,0.096616864,0.037873827,-0.019948669
14,0.09746664,0.038685746,-0.019324277
15,0.09819362,0.039499853,-0.018611996
16,0.09867638,0.040364146,-0.01814782
17,0.09895277,0.04123521,-0.017814074
18,0.09920861,0.041989785,-0.017526433
19,0.09944723,0.042662602,-0.017544731
20,0.09971242,0.043240752,-0.0176632
21,0.0999725,0.04367344,-0.0177369
22,0.10020095,0.043993346,-0.017858682
23,0.10037143,0.044329755,-0.018068599
24,0.10060324,0.044576,-0.018440643
25,0.100875966,0.044828005,-0.018866327
26,0.10100891,0.04514516,-0.019373704
27,0.101070166,0.045400716,-0.019926105
28,0.10113331,0.04555691,-0.020543871
29,0.10110379,0.045682263,-0.020873357
30,0.10104851,0.045790296,-0.021188099
31,0.10096122,0.04598289,-0.021575755
32,0.10079895,0.04622083,-0.0220119
33,0.10071583,0.046388578,-0.022462672
34,0.10077619,0.046223365,-0.022996567
35,0.100844994,0.046026383,-0.02344213
36,0.100884646,0.04582733,-0.023843763
37,0.100869566,0.0457537,-0.024217745
38,0.100722514,0.045866616,-0.024334714
39,0.1005469,0.04609674,-0.024361761
40,0.100467764,0.046292804,-0.024424654
41,0.10039948,0.046327602,-0.024731535
42,0.10039218,0.04627988,-0.024972692
43,0.10039056,0.046185456,-0.025244093
44,0.10040746,0.046096325,-0.025609158
45,0.100488015,0.046014287,-0.025953995
46,0.10058544,0.046030536,-0.026389878
47,0.10063178,0.046079583,-0.026906861
48,0.10076588,0.04618898,-0.02734882
49,0.10088478,0.046330765,-0.027812146
50,0.10094056,0.046459436,-0.028324004
51,0.100942135,0.04655716,-0.028801119
52,0.10087202,0.046708606,-0.029257098
53,0.100641504,0.04694348,-0.029630149
54,0.10052257,0.04707855,-0.029993374
55,0.100465395,0.047192723,-0.030245695
56,0.10068832,0.047185052,-0.030511606
57,0.10101266,0.04714546,-0.030839002
58,0.101431884,0.04707731,-0.031276103
59,0.10176956,0.04704988,-0.031739846
60,0.10202179,0.047045927,-0.032201268
61,0.1021949,0.047030564,-0.03270016
62,0.10216948,0.047113102,-0.033286322
63,0.10211633,0.047217723,-0.033818994
64,0.102004975,0.047340255,-0.034369983
65,0.10189205,0.047473878,-0.034817185
66,0.10187891,0.04754663,-0.035182316
67,0.10209047,0.047510143,-0.03542722
68,0.10240859,0.047423422,-0.0356025
69,0.102788165,0.04735132,-0.035652872
70,0.10310963,0.04730518,-0.035673667
71,0.10336091,0.04724758,-0.03570782
72,0.10362319,0.04713906,-0.03582498
73,0.10385653,0.046987835,-0.03596336
74,0.10398678,0.04684536,-0.036154844
75,0.10415363,0.046718672,-0.036428243
76,0.1042309,0.046648804,-0.036686257
77,0.104238726,0.046646565,-0.03695919
78,0.104322515,0.04664118,-0.037268102
79,0.10435677,0.046692044,-0.037610907
80,0.10444354,0.04671562,-0.03798285
81,0.10457584,0.04670325,-0.03831472
82,0.104767516,0.046675444,-0.03862029
83,0.10494073,0.046678733,-0.038894467
84,0.10516135,0.04666817,-0.039154664
85,0.10541284,0.046618696,-0.039451584
86,0.10565282,0.046576653,-0.0397203
87,0.1058533,0.04655221,-0.040013354
88,0.10600756,0.046534903,-0.04029962
89,0.10602501,0.046548422,-0.04069438
90,0.106137596,0.046444338,-0.041148525
91,0.106201306,0.046367384,-0.041564487
92,0.10608327,0.04642941,-0.041898783
93,0.10594706,0.046527095,-0.04216199
94,0.10571515,0.046662856,-0.04245584
95,0.10552172,0.04676912,-0.042739477
96,0.105505854,0.046783186,-0.04306816
97,0.10559675,0.046760276,-0.04342942
98,0.105794966,0.04663549,-0.0438516
99,0.106149435,0.04649692,-0.04437187
100,0.10655624,0.04637393,-0.04478038
101,0.106972024,0.046277504,-0.045152634
102,0.10720954,0.046251275,-0.04551414
103,0.107298315,0.04625244,-0.04588038
104,0.107208245,0.046344753,-0.046268374
105,0.107025504,0.046463367,-0.046529118
106,0.10677459,0.046652928,-0.04677095
107,0.1065415,0.04688757,-0.047012217
108,0.10641702,0.04708594,-0.047269136
109,0.10640925,0.047195718,-0.047573484
110,0.10654038,0.04720863,-0.04787643
111,0.10682548,0.047128767,-0.048205048
112,0.10715391,0.047023986,-0.048560187
113,0.107463844,0.04690065,-0.048898675
114,0.10772525,0.04678704,-0.0491535
115,0.10794101,0.046708938,-0.049422316
116,0.10795681,0.04671865,-0.04980867
117,0.10797013,0.046722136,-0.050221413
118,0.107931815,0.046740655,-0.05063681
119,0.10790793,0.046767097,-0.050923955
120,0.10790619,0.046808194,-0.051099602
121,0.107922345,0.046850674,-0.05126878
122,0.108043864,0.046803348,-0.05151192
123,0.10820177,0.046740558,-0.05168521
124,0.108262636,0.046739683,-0.051776268
125,0.10833234,0.04670587,-0.051854517
126,0.108430736,0.04665724,-0.052014288
